NC_030986.1	1
NC_030987.1	2
NC_030988.1	3
NC_030989.1	4
NC_030990.1	5
NC_030991.1	6
NC_030992.1	7
NC_030993.1	8
NC_030994.1	9
NC_030995.1	10
NC_030996.1	11
NC_030997.1	12
NC_030998.1	13
NC_030999.1	14
NC_031000.1	15
NW_017264914.1	supercont2.114
NW_017264913.1	supercont2.113
NW_017264912.1	supercont2.112
NW_017264911.1	supercont2.111
NW_017264910.1	supercont2.110
NW_017264909.1	supercont2.109
NW_017264908.1	supercont2.108
NW_017264907.1	supercont2.107
NW_017264906.1	supercont2.106
NW_017264905.1	supercont2.105
NW_017264904.1	supercont2.104
NW_017264903.1	supercont2.103
NW_017264902.1	supercont2.102
NW_017264901.1	supercont2.101
NW_017264900.1	supercont2.100
NW_017264899.1	supercont2.99
NW_017264898.1	supercont2.98
NW_017264897.1	supercont2.97
NW_017264896.1	supercont2.96
NW_017264895.1	supercont2.95
NW_017264894.1	supercont2.94
NW_017264893.1	supercont2.93
NW_017264892.1	supercont2.92
NW_017264891.1	supercont2.91
NW_017264890.1	supercont2.90
NW_017264889.1	supercont2.90
NW_017264888.1	supercont2.88
NW_017264887.1	supercont2.87
NW_017264886.1	supercont2.86
NW_017264885.1	supercont2.85
NW_017264884.1	supercont2.84
NW_017264883.1	supercont2.83
NW_017264882.1	supercont2.82
NW_017264881.1	supercont2.81
NW_017264880.1	supercont2.80
NW_017264879.1	supercont2.79
NW_017264878.1	supercont2.78
NW_017264877.1	supercont2.77
NW_017264876.1	supercont2.76
NW_017264875.1	supercont2.75
NW_017264874.1	supercont2.74
NW_017264873.1	supercont2.73
NW_017264872.1	supercont2.72
NW_017264871.1	supercont2.71
NW_017264870.1	supercont2.70
NW_017264869.1	supercont2.69
NW_017264868.1	supercont2.68
NW_017264867.1	supercont2.67
NW_017264866.1	supercont2.66
NW_017264865.1	supercont2.65
NW_017264864.1	supercont2.64
NW_017264863.1	supercont2.63
NW_017264862.1	supercont2.62
NW_017264861.1	supercont2.61
NW_017264860.1	supercont2.60
NW_017264859.1	supercont2.59
NW_017264858.1	supercont2.58
NW_017264857.1	supercont2.57
NW_017264856.1	supercont2.56
NW_017264855.1	supercont2.55
NW_017264854.1	supercont2.54
NW_017264853.1	supercont2.52
NW_017264852.1	supercont2.50
NW_017264851.1	supercont2.49
NW_017264850.1	supercont2.48
NW_017264849.1	supercont2.46
NW_017264848.1	supercont2.44
NW_017264847.1	supercont2.40
NW_017264846.1	supercont2.34
NW_017264845.1	supercont2.30
